Passage,NewID,WordNoPunctuation,WordWithPunctuation,WordClass,PartOfSpeech
1,1Aw01,In,In,Function,ADP
1,1Aw02,the,the,Function,DET
1,1Aw03,right,right,Content,ADJ
1,1Aw04,hands,"hands,",Content,NOUN
1,1Aw05,location,location,Content,NOUN
1,1Aw06,data,data,Content,NOUN
1,1Aw07,can,can,Function,AUX
1,1Aw08,be,be,Content,AUX
1,1Aw09,a,a,Function,DET
1,1Aw10,force,force,Content,NOUN
1,1Aw11,for,for,Function,ADP
1,1Aw12,good,good.,Content,ADJ
1,1Bw01,It,It,Function,PRON
1,1Bw02,can,can,Function,AUX
1,1Bw03,provide,provide,Content,VERB
1,1Bw04,publishers,publishers,Content,NOUN
1,1Bw05,and,and,Function,CCONJ
1,1Bw06,app,app,Content,NOUN
1,1Bw07,developers,developers,Content,NOUN
1,1Bw08,with,with,Function,ADP
1,1Bw09,advertising,advertising,Content,NOUN
1,1Bw10,revenue,revenue,Content,NOUN
1,1Bw11,so,so,Function,SCONJ
1,1Bw12,consumers,consumers,Content,NOUN
1,1Bw13,can,can,Function,AUX
1,1Bw14,access,access,Content,VERB
1,1Bw15,free,free,Content,ADJ
1,1Bw16,services,services,Content,NOUN
1,1Bw17,and,and,Function,CCONJ
1,1Bw18,information,information.,Content,NOUN
2,2Aw01,Paying,Paying,Content,VERB
2,2Aw02,for,for,Function,ADP
2,2Aw03,college,college,Content,NOUN
2,2Aw04,seems,seems,Content,VERB
2,2Aw05,out,out,Function,ADP
2,2Aw06,of,of,Function,ADP
2,2Aw07,reach,reach,Content,NOUN
2,2Aw08,for,for,Function,ADP
2,2Aw09,many,many,Content,ADJ
2,2Aw10,Americans,"Americans,",Content,PROPN
2,2Aw11,so,so,Function,SCONJ
2,2Aw12,the,the,Function,DET
2,2Aw13,idea,idea,Content,NOUN
2,2Aw14,of,of,Function,ADP
2,2Aw15,free,free,Content,ADJ
2,2Aw16,college,college,Content,NOUN
2,2Aw17,has,has,Content,VERB
2,2Aw18,broad,broad,Content,ADJ
2,2Aw19,appeal,appeal.,Content,NOUN
2,2Bw01,Several,Several,Content,ADJ
2,2Bw02,Democratic,Democratic,Content,ADJ
2,2Bw03,presidential,presidential,Content,ADJ
2,2Bw04,candidates,candidates,Content,NOUN
2,2Bw05,and,and,Function,CCONJ
2,2Bw06,members,members,Content,NOUN
2,2Bw07,of,of,Function,ADP
2,2Bw08,Congress,Congress,Content,PROPN
2,2Bw09,have,have,Content,AUX
2,2Bw10,endorsed,endorsed,Content,VERB
2,2Bw11,it,it.,Function,PRON
3,3Aw01,Very,Very,Content,ADV
3,3Aw02,few,few,Content,ADJ
3,3Aw03,issues,issues,Content,NOUN
3,3Aw04,can,can,Function,AUX
3,3Aw05,bring,bring,Content,VERB
3,3Aw06,together,together,Content,ADV
3,3Aw07,lawmakers,lawmakers,Content,NOUN
3,3Aw08,of,of,Function,ADP
3,3Aw09,both,both,Function,DET
3,3Aw10,parties,parties.,Content,NOUN
3,3Bw01,Animal,Animal,Content,ADJ
3,3Bw02,cruelty,cruelty,Content,NOUN
3,3Bw03,is,is,Content,AUX
3,3Bw04,one,one,Function,NUM
3,3Bw05,of,of,Function,ADP
3,3Bw06,them,them.,Function,PRON
4,4Aw01,Koalas,Koalas,Content,PROPN
4,4Aw02,have,have,Content,AUX
4,4Aw03,been,been,Content,AUX
4,4Aw04,running,running,Content,VERB
4,4Aw05,into,into,Function,ADP
4,4Aw06,hard,hard,Content,ADJ
4,4Aw07,times,times.,Content,NOUN
4,4Bw01,They,They,Function,PRON
4,4Bw02,have,have,Content,AUX
4,4Bw03,suffered,suffered,Content,VERB
4,4Bw04,for,for,Function,ADP
4,4Bw05,years,years,Content,NOUN
4,4Bw06,from,from,Function,ADP
4,4Bw07,habitat,habitat,Content,NOUN
4,4Bw08,destruction,"destruction,",Content,NOUN
4,4Bw09,dog,dog,Content,NOUN
4,4Bw10,attacks,"attacks,",Content,NOUN
4,4Bw11,automobile,automobile,Content,NOUN
4,4Bw12,accidents,accidents.,Content,NOUN
5,5Aw01,Some,Some,Function,DET
5,5Aw02,recent,recent,Content,ADJ
5,5Aw03,reports,reports,Content,NOUN
5,5Aw04,have,have,Content,AUX
5,5Aw05,suggested,suggested,Content,VERB
5,5Aw06,that,that,Function,SCONJ
5,5Aw07,women,women,Content,NOUN
5,5Aw08,who,who,Function,PRON
5,5Aw09,give,give,Content,VERB
5,5Aw10,birth,birth,Content,NOUN
5,5Aw11,by,by,Function,ADP
5,5Aw12,cesarean,cesarean,Content,ADJ
5,5Aw13,section,section,Content,NOUN
5,5Aw14,are,are,Content,AUX
5,5Aw15,more,more,Content,ADV
5,5Aw16,likely,likely,Content,ADJ
5,5Aw17,to,to,Function,PART
5,5Aw18,have,have,Content,VERB
5,5Aw19,obese,obese,Content,ADJ
